gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
1884906513				CC_BY_4_0													PRESERVED_SPECIMEN				573																		PRESENT																							1978-02-14		45	45	1978	2	14												AFRICA				GH	Eastern			Mampong-Akwapim																																																												Flagellaria guineensis Schumach.								Plantae	Tracheophyta	Liliopsida	Poales		Flagellariaceae				Flagellaria	Flagellaria			guineensis			SPECIES		Twi:Me_re_bia/Ahomantiantia,Fante:Biribie_,Nzema:Nghafale_		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:49.178Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	5287573	5287573	6	7707728	196	1369	3742	2693391		5287573	Flagellaria guineensis	Flagellaria guineensis Schumach.	Flagellaria guineensis Schumach		EML	2024-01-24T20:29:49.178Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906512				CC_BY_4_0													PRESERVED_SPECIMEN				559																		PRESENT																							1972-08-22		235	235	1972	8	22												AFRICA				GH																																																																Commelina nudiflora L.								Plantae	Tracheophyta	Liliopsida	Commelinales		Commelinaceae				Murdannia	Commelina			nudiflora			SPECIES		Twi:Onyame Bewu Na Mawu		SYNONYM			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:46.757Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	2764693	2764680	6	7707728	196	553	2763195	2764564		2764680	Murdannia nudiflora	Murdannia nudiflora (L.) Brenan	Commelina nudiflora Linn.		EML	2024-01-24T20:29:46.757Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906511				CC_BY_4_0													PRESERVED_SPECIMEN				552																		PRESENT																							1975-03-05		64	64	1975	3	5												AFRICA				GH	Eastern			Mampong																																																												Newbouldia laevis (Beauverd) Seem.								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Bignoniaceae				Newbouldia	Newbouldia			laevis			SPECIES		Twi:_sensenma/Sansanemasa,Ewe;Aviati(kp_tiri) Ga:Hiatso		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:46.178Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	4091370	4091370	6	7707728	220	408	6655	7298333		4091370	Newbouldia laevis	Newbouldia laevis (Beauverd) Seem.	Newbouldia laevis Seem		EML	2024-01-24T20:29:46.178Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									LC
1884906510				CC_BY_4_0													PRESERVED_SPECIMEN				576																		PRESENT																							1991-06-24		175	175	1991	6	24												AFRICA				GH	Eastern			Awherease-Akuapim																																																												Marantochloa ramosissima (Benth.) Hutch.								Plantae	Tracheophyta	Liliopsida	Zingiberales		Marantaceae				Marantochloa	Marantochloa			ramosissima			SPECIES		Twi:Ahaban		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:49.514Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	2761193	2761193	6	7707728	196	627	8784	2761156		2761193	Marantochloa ramosissima	Marantochloa ramosissima (Benth.) Hutch.	Marantochloa ramosissima(Benth.)Hutch		EML	2024-01-24T20:29:49.514Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906509				CC_BY_4_0													PRESERVED_SPECIMEN				574																		PRESENT																							1990-08-11		223	223	1990	8	11												AFRICA				GH	Eastern																																																															Flagellaria guineensis Schumach.								Plantae	Tracheophyta	Liliopsida	Poales		Flagellariaceae				Flagellaria	Flagellaria			guineensis			SPECIES		Twi:Mom_bea		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:49.265Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	5287573	5287573	6	7707728	196	1369	3742	2693391		5287573	Flagellaria guineensis	Flagellaria guineensis Schumach.	Flagellaria guineensis Schumach		EML	2024-01-24T20:29:49.265Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906508				CC_BY_4_0													PRESERVED_SPECIMEN				568																		PRESENT																							2010-01-07		7	7	2010	1	7												AFRICA				GH	Eastern			Tetteh Quarshie Memorial Hospital premisis (Mampong Akuapim)																																																												Colocasia esculenta (L.) Schott								Plantae	Tracheophyta	Liliopsida	Alismatales		Araceae				Colocasia	Colocasia			esculenta			SPECIES		Twi:Bor_b_/Kooko,Vle		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:48.759Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY		false	false	5330776	5330776	6	7707728	196	551	6979	5330758		5330776	Colocasia esculenta	Colocasia esculenta (L.) Schott	Coloccasia esculenta		EML	2024-01-24T20:29:48.759Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									LC
1884906507				CC_BY_4_0													PRESERVED_SPECIMEN				531																		PRESENT																							2003-12-04		338	338	2003	12	4												AFRICA				GH	Eastern			Aburi hills																																																												Hoslundia Vahl								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Lamiaceae				Hoslundia	Hoslundia						GENUS				ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:44.185Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	7306762	7306762	6	7707728	220	408	2497	7306762				Hoslundia Vahl	Hoslundia Opposita		EML	2024-01-24T20:29:44.185Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									
1884906506				CC_BY_4_0													PRESERVED_SPECIMEN				566																		PRESENT																							1995-07-11		192	192	1995	7	11												AFRICA				GH	Eastern																																																															Culcasia angolensis Welw. ex Schott								Plantae	Tracheophyta	Liliopsida	Alismatales		Araceae				Culcasia	Culcasia			angolensis			SPECIES		Twi:K_nkroaba/Nkonkuraha,Ewe:Anosh x tinga		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:48.505Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	2869032	2869032	6	7707728	196	551	6979	2869018		2869032	Culcasia angolensis	Culcasia angolensis Welw. ex Schott	Culcasia angolensis Welx.ex Schott		EML	2024-01-24T20:29:48.505Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906505				CC_BY_4_0													PRESERVED_SPECIMEN				577																		PRESENT																							2009-01-29		29	29	2009	1	29												AFRICA				GH	Eastern			Begro Forest																																																												Marantochloa purpurea (Ridl.) Milne-Redh.								Plantae	Tracheophyta	Liliopsida	Zingiberales		Marantaceae				Marantochloa	Marantochloa			purpurea			SPECIES		Twi:Anworam		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:49.910Z						CONTINENT_DERIVED_FROM_COUNTRY		false	false	2761212	2761212	6	7707728	196	627	8784	2761156		2761212	Marantochloa purpurea	Marantochloa purpurea (Ridl.) Milne-Redh.	Marantochloa purpurea		EML	2024-01-24T20:29:49.910Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									NE
1884906504				CC_BY_4_0													PRESERVED_SPECIMEN				555																		PRESENT																							1972-11-24		329	329	1972	11	24												AFRICA				GH																																																																Crinum glaucum A.Chev.								Plantae	Tracheophyta	Liliopsida	Asparagales		Amaryllidaceae				Crinum	Crinum			glaucum			SPECIES		Twi:sukooko/Ditto		ACCEPTED			7d0795c4-a685-4ab1-9fd6-71737a87fe8c	GH	2024-01-24T20:29:46.394Z						CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK		false	false	2853650	2853650	6	7707728	196	1169	7682	2773870		2853650	Crinum glaucum	Crinum glaucum A.Chev.	Crinum glaucum A.cher.		EML	2024-01-24T20:29:46.394Z	2023-01-06T22:00:31.820Z	false		BID-AF2017-0226-NAC	false	AFRICA	AFRICA									LC
