gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1884906513																	PreservedSpecimen				573																																														1978	2	14																Ghana	GHA	Eastern			Mampong-Akwapim																																																																				Flagellaria guineensis Schumach								Plantae					Flagellariaceae														Twi:Me_re_bia/Ahomantiantia,Fante:Biribie_,Nzema:Nghafale_				
1884906512																	PreservedSpecimen				559																																														1972	8	22																Ghana	GHA																																																																								Commelina nudiflora Linn.								Plantae					Commelinaceae														Twi:Onyame Bewu Na Mawu				
1884906511																	PreservedSpecimen				552																																														1975	3	5																Ghana	GHA	Eastern			Mampong																																																																				Newbouldia laevis Seem								Plantae					Bigononiaceae														Twi:_sensenma/Sansanemasa,Ewe;Aviati(kp_tiri) Ga:Hiatso				
1884906510																	PreservedSpecimen				576																																														1991	6	24																Ghana	GHA	Eastern			Awherease-Akuapim																																																																				Marantochloa ramosissima(Benth.)Hutch								Plantae					Marantaceae														Twi:Ahaban				
1884906509																	PreservedSpecimen				574																																														1990	8	11																Ghana	GHA	Eastern																																																																							Flagellaria guineensis Schumach								Plantae					Flagellariaceae														Twi:Mom_bea				
1884906508																	PreservedSpecimen				568																																														2010	1	7																Ghana	GHA	Eastern			Tetteh Quarshie Memorial Hospital premisis (Mampong Akuapim)																																																																				Coloccasia esculenta								Plantae					Araceae														Twi:Bor_b_/Kooko,Vle				
1884906507																	PreservedSpecimen				531																																														2003	12	4																Ghana	GHA	Eastern			Aburi hills																																																																				Hoslundia Opposita								Plantae					Labiatae																		
1884906506																	PreservedSpecimen				566																																														1995	7	11																Ghana	GHA	Eastern																																																																							Culcasia angolensis Welx.ex Schott								Plantae					Araceae														Twi:K_nkroaba/Nkonkuraha,Ewe:Anosh x tinga				
1884906505																	PreservedSpecimen				577																																														2009	1	29																Ghana	GHA	Eastern			Begro Forest																																																																				Marantochloa purpurea								Plantae					Marantaceae														Twi:Anworam				
1884906504																	PreservedSpecimen				555																																														1972	11	24																Ghana	GHA																																																																								Crinum glaucum A.cher.								Plantae					Amaryllidaceae														Twi:sukooko/Ditto				
1884906503																	PreservedSpecimen				488																																														1991	2	12																Ghana	GHA	Eastern			Amanfo near Mampong-Akwapem																																																																				Mitragyna stipulosa O.kuntze								Plantae					Rubiaceae														Twi:Supua,Supuya				
1884906502																	PreservedSpecimen				578																																														1992	8	3																Ghana	GHA	Eastern			Amanokrom-Akwapim																																																																				Canna indica Linn.								Plantae					Cannaceae														Twi:Abrobia				
1884906501																	PreservedSpecimen				542																																														1979	9	18																Ghana	GHA	Eastern			Adimadim(odonkorkrom)																																																																				Elytratria marginata Vahl								Plantae					Acanthaceae														Twi:Akwatia a _so dade ky_w				
1884906500																	PreservedSpecimen				543																																														2010	3	24																Ghana	GHA	Eastern			Mangoase Prako road																																																																				Hygrophila auriculata								Plantae					Acanthaceae														Ewe:Ayetr_				
